               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099993,            0.033986,            0.062216,             0.32234,            0.094626,            0.048148,            0.014509,            0.075476,            0.023209,            0.045245,            0.070476,           0.0032804,           0.0032804
                   1,            0.069542,            0.029809,              0.0411,             0.59851,             0.20315,             0.12853,            0.049195,            0.063097,            0.017565,              0.0338,            0.039821,            0.005959,            0.005959
                   2,            0.065778,            0.026104,            0.033068,             0.65659,             0.21545,              0.1305,            0.042813,             0.06192,            0.016515,             0.02856,           0.0085067,           0.0079776,           0.0079776
                   3,            0.058541,            0.025959,            0.029844,             0.52276,             0.23887,             0.17477,            0.071499,             0.05428,            0.015681,            0.025498,             0.00703,             0.00703,             0.00703
                   4,            0.054092,            0.023996,            0.027198,             0.66369,             0.27013,             0.22675,            0.088225,            0.052729,            0.014424,            0.022036,             0.00703,             0.00703,             0.00703
                   5,            0.050178,            0.023905,            0.024353,             0.64502,              0.3481,             0.32299,             0.15561,            0.044844,             0.01368,            0.019136,             0.00604,             0.00604,             0.00604
                   6,            0.046915,            0.024268,            0.021902,             0.66772,             0.37073,             0.36163,             0.17454,            0.041882,            0.013455,            0.018186,             0.00505,             0.00505,             0.00505
                   7,            0.043254,            0.022597,             0.02116,             0.69307,             0.37627,             0.38116,             0.19235,            0.040254,            0.013352,            0.016741,             0.00406,             0.00406,             0.00406
                   8,            0.041001,            0.022349,            0.018162,             0.75718,             0.41548,             0.46127,             0.26406,            0.035812,            0.012401,            0.014936,             0.00307,             0.00307,             0.00307
                   9,            0.038644,            0.021658,            0.017112,             0.78078,             0.43719,             0.50965,             0.30111,            0.034359,             0.01206,            0.013679,             0.00208,             0.00208,             0.00208
